"longitude","latitude","total_cases","id","voronoipop","nbHF","voronoiadjpop","sampling","provnames","access","pet","pop","urban","W.access"
114.4983,23.24435,98,37,3860433.5,1,3860433.5,1,"Guangdong",-0.970095219639453,0.396547968911424,1.42700790230417,0.912534584676789,-0.970371037182243
114.52083333,24.52083333,NA,48,3176993.25,1,3176993.25,0,"Guangdong",0.020240081166961,-0.113502262399983,0.580013327296701,-0.482501700463786,-1.0645105737411
114.52083333,25.14583333,NA,61,3188023,1,3188023,0,"Guangdong",-0.659776209281239,0.294013737525428,0.719007998605079,0.606384849138942,-1.24031472927217
114.52083333,25.77083333,NA,80,5611813.5,1,5611813.5,0,"Jiangxi",-1.42972889635734,0.163385007372361,1.3803835478964,1.35133221933217,-1.36808600321386
114.52083333,26.39583333,NA,105,3806006,1,3806006,0,"Jiangxi",-1.85628455648225,0.131901019325264,1.19067136023173,1.12074033094343,-1.58522638008325
114.52083333,28.89583333,NA,131,2786840,1,2786840,0,"Jiangxi",-1.26099657693399,0.231845455344492,0.926983492815524,0.613657208031641,-2.28314045980579
114.52083333,31.39583333,NA,217,4887465.5,1,4887465.5,0,"Hubei",-0.470445841136724,0.0619894741476298,1.15122477325255,0.905725291453173,-2.73323089515845
114.52083333,33.27083333,NA,255,4822108,1,4822108,0,"Henan",-1.48513633125609,0.393154221347824,1.83958709839507,1.62694045377014,-1.80243043251224
114.52083333,37.64583333,NA,348,9923916,1,9923916,0,"Hebei",-1.01453020199917,0.74584219462175,1.86341742529689,1.89869675984503,-1.13103647172523
114.52083333,38.89583333,NA,353,8030770,1,8030770,0,"Hebei",-0.422625969783501,0.92900610086933,0.695051835737605,0.527079186041072,-0.934272682667453
114.52083333,39.52083333,NA,353,8030770,1,8030770,0,"Shanxi",0.472664114637224,-0.150192255413223,0.148753626820225,0.618672716007348,-0.814792717822272
114.52083333,40.14583333,NA,363,2068677.875,1,2068677.875,0,"Hebei",-0.828097064604972,0.624227744181387,0.720453339275735,1.22760395313254,-0.724130208145412
114.52083333,40.77083333,NA,376,3263715.25,1,3263715.25,0,"Hebei",-0.771137571992714,0.828013612847519,0.716115904329541,1.40198141746623,-0.711798345418432
114.52083333,41.39583333,NA,575,952777.4375,1,952777.4375,0,"Hebei",-1.46521186320038,0.472228394651604,0.430053543184746,0.908073082529765,-0.671683204725959
114.52083333,42.64583333,NA,575,952777.4375,1,952777.4375,0,"Inner Mongol",-0.678423177388174,0.674335094697513,-0.477603163064612,-0.482501700463786,-0.529455319472459
114.52083333,43.27083333,NA,604,16999.572265625,1,16999.572265625,0,"Inner Mongol",-0.0280768701820845,0.749801115730559,-0.864387907386955,-0.482501700463786,-0.46601776404799
114.52083333,43.89583333,NA,604,16999.572265625,1,16999.572265625,0,"Inner Mongol",-0.0118843271784906,0.54519377338797,-0.903588339069847,-0.482501700463786,-0.386545704777104
114.52083333,45.14583333,NA,604,16999.572265625,1,16999.572265625,0,"Inner Mongol",0.172056196057623,-0.140107587229919,-0.845739263656632,-0.482501700463786,-0.257109050069201
114.5375,34.6068,38,282,5774479.5,1,5774479.5,1,"Henan",-1.49103177781331,0.662412013995605,1.39513727734944,1.5774198864951,-1.50930749340444
114.5421,36.55381,46,323,7735518.5,1,7735518.5,1,"Hebei",-1.94737453325789,0.672812312615759,1.9439201308663,2.05409798217789,-1.28489589998655
114.6612,35.46624,2,304,1701754.5,1,1701754.5,1,"Henan",-1.63608419223159,0.623257778546274,1.91458362301756,1.76748599210968,-1.34728634614479
114.7549,35.21723,6,297,2632141.25,1,2632141.25,1,"Henan",-1.60403446699931,0.63992902441662,1.84147729914263,1.7266986681916,-1.38801117990491
114.7554,30.32797,513,191,2549635.25,1,2549635.25,1,"Hubei",-1.10932513074628,0.159437238994209,0.585588608421313,0.53952676357942,-3.08193866075832
114.8155,37.21327,40,332,6776270.5,1,6776270.5,1,"Hebei",-1.83146059004393,0.711197083486408,1.89574838117145,1.87743070037089,-1.19213580994859
114.8248,26.97535,38,105,3806006,1,3806006,1,"Jiangxi",-1.74244485093643,0.120853129544531,1.20053788405698,0.97944185322724,-1.75974026043351
114.8515,27.84546,218,121,3036791.75,1,3036791.75,1,"Jiangxi",-0.797394828699336,0.112707824258142,1.62887447095711,1.18026989068956,-1.8860011776555
114.8773,33.72386,128,265,5913133,1,5913133,1,"Henan",-1.83900709630791,0.507459047042082,1.8892535527962,2.18034571503872,-1.69005744164027
114.8834,32.08258,276,483,3530017.75,1,3530017.75,1,"Henan",-0.490485174204191,0.17037615942275,1.62025223107485,1.42844100919847,-2.41634341897357
114.9369,32.77976,2,489,3952916.75,1,3952916.75,1,"Henan",-2.01110744633012,0.314353064348411,2.17639685583004,1.97049521939688,-2.04404152848696
114.9579,24.04653,8,48,3176993.25,1,3176993.25,1,"Guangdong",-0.566245689006498,0.324705846893611,0.782598576344402,1.09182575276652,-1.05726289534591
114.9732,28.30755,172,131,2786840,1,2786840,1,"Jiangxi",-0.707381798605191,0.216736586909294,1.09672923716409,0.944945485608792,-1.95979118719804
115.0246,29.9274,427,178,2915281.75,1,2915281.75,1,"Hubei",-0.390288156695636,0.215293384634139,1.11611387742385,0.807934755407755,-2.77042936654775
