index,id,longitude,latitude,voronoi_pop,nbHF,sampling,provnames,access,pet,pop,urban,W_access,voronoi_adj_pop,total_cases,adj_cases
76,47,106.2863,23.98862,3493220.75,1,1,Guangxi,-1.01573708878762,0.35203943921933395,0.345962941165243,-0.482501700463786,-0.626247649780314,3493220.75,6.0,0.17176126072192832
82,48,114.9579,24.046529999999997,3176993.25,1,1,Guangdong,-0.566245689006498,0.32470584689361104,0.782598576344402,1.09182575276652,-1.05726289534591,3176993.25,8.0,0.2518104185459003
86,49,102.2032,24.14295,1160755.875,1,1,Yunnan,-0.8593562371789258,0.34990909643723195,0.574553076829337,0.5438020836164961,-0.16892802015104302,1160755.875,22.0,1.8953167047291488
87,50,116.0807,24.20478,3141363.75,1,1,Guangdong,-1.5788304053554498,0.450803943762642,1.19432969769485,0.45215317086696794,-1.04466215069425,3141363.75,32.0,1.0186658581006418
88,51,112.8749,24.31602,2341732.25,1,1,Guangdong,-0.255186980284616,-0.109847514101288,0.346831910092401,-0.482501700463786,-1.17602423637642,2341732.25,22.0,0.9394754673596863
90,52,111.3626,24.36175,2799940.25,1,1,Guangxi,-0.8332448642260321,0.0858091749288585,1.4275396402372598,1.2204513188284298,-1.06584606124652,2799940.25,8.0,0.28572038278316836
92,53,117.4428,24.37045,1376714.75,1,1,Fujian,-0.18219304997643201,0.344432796418747,0.898805500559799,0.42427693069663597,-0.918097358186039,1376714.75,18.0,1.3074603871281252
93,54,117.7956,24.39413,1157984.25,1,1,Fujian,-1.5032065922041002,0.41152456456911995,2.21409054482519,1.88798412841873,-0.937177557213043,1157984.25,2.0,0.17271392076360279
95,55,98.08459,24.560389999999998,1425904.0,1,1,Yunnan,-0.542953321154276,0.488800834690933,0.48660536678106503,0.35182415548232804,0.321495212999354,1425904.0,6.0,0.42078569104231417
97,56,117.6105,24.601029999999998,1325453.125,1,1,Fujian,-2.12887375250678,0.4226393476686311,2.17163656409714,2.18489084329554,-0.947589753850171,1325453.125,16.0,1.207134352638838
102,57,107.8409,24.64574,2942261.5,1,1,Guangxi,-0.538343046820102,-0.0439132761841538,0.6063161846686089,0.598194504920787,-0.856659287786575,2942261.5,50.0,1.69937308427548
105,58,118.1138,24.67595,930561.75,1,1,Fujian,-2.5939670119205003,0.350743574038591,2.47877928578355,2.61464772562706,-0.9330734554785359,930561.75,34.0,3.653707021592065
106,59,118.5443,24.729689999999998,7078758.0,1,1,Fujian,-1.5545453354863,0.38482218739194296,2.55595527269941,2.5370657608136002,-0.9612870084502758,7078758.0,24.0,0.33904252695176185
109,60,116.8144,24.75887,960296.375,1,1,Fujian,-0.9413434089962429,0.33753668631788003,1.00971753658384,0.8342875488784691,-1.06415690728195,960296.375,6.0,0.6248071070767085
111,61,113.7723,24.82198,3188023.0,1,1,Guangdong,-0.262528753893681,0.266270996516237,0.83398425356368,1.02750741488956,-1.22327649947346,3188023.0,14.0,0.4391436322761787
113,62,118.5449,24.91283,940251.0625,1,1,Fujian,-1.8259711083815,0.21454627179301103,3.1685352189965896,2.90955915471744,-0.9670671269730771,940251.0625,2.0,0.21270914543635522
114,63,118.618,24.921429999999997,1205329.625,1,1,Fujian,-1.9763195379261398,0.38258749374299394,2.9381949926891897,2.35092360690703,-0.9641585183571411,1205329.625,4.0,0.331859428079684
117,64,109.37100000000001,24.95009,2552764.5,1,1,Guangxi,-0.660547849252584,0.0829746950544623,0.6114560091806441,0.45215317086696794,-1.01657476244785,2552764.5,48.0,1.8803144590893517
119,65,98.96988,24.97854,2883059.0,1,1,Yunnan,-0.449937223746894,0.7838919929994641,0.8452033055262521,0.411989947484788,0.150911629447229,2883059.0,14.0,0.4855953346775075
124,66,104.3416,24.98012,3106783.0,1,1,Yunnan,-0.295658236961557,-0.00957300264930299,1.0208552271824,0.641660438088216,-0.385734712037336,3106783.0,2.0,0.06437527178435057
128,67,101.4838,25.01087,1560906.125,1,1,Yunnan,-0.7349780715641641,0.416062812640846,1.19297807052929,1.0421316716905,-0.13659937148338602,1560906.125,24.0,1.5375684428171488
129,68,118.3777,25.01462,935182.375,1,1,Fujian,-1.1154242264115,0.427418775663753,2.3694193642275696,2.17506696850573,-0.9569080090050881,935182.375,16.0,1.710896230267385
