longitude,latitude,date,cases,Org.ID,raster_value
107.1356,29.95723,2020-01-25,1,12,284.9953918457031
107.1356,29.95723,2020-01-27,2,12,284.9953918457031
107.1928,26.43055,2020-02-03,1,31,199.48072814941406
107.1928,26.43055,2020-01-22,1,31,199.48072814941406
107.1928,26.43055,2020-02-06,1,31,199.48072814941406
107.2001,34.38244,2020-01-28,3,332,29.869794845581055
107.2001,34.38244,2020-02-07,2,332,29.869794845581055
107.2001,34.38244,2020-02-09,1,332,29.869794845581055
107.2001,34.38244,2020-02-03,1,332,29.869794845581055
107.2001,34.38244,2020-01-29,1,332,29.869794845581055
107.2502,26.0176,2020-01-27,3,272,721.140380859375
107.27122299999999,34.345903,2020-02-04,1,522,17.300945281982422
107.3324,29.660859999999996,2020-01-22,1,37,246.86167907714844
107.3324,29.660859999999996,2020-02-02,1,37,246.86167907714844
107.4299,40.924620000000004,2020-02-03,1,493,74.55840301513672
107.4299,40.924620000000004,2020-02-04,1,493,74.55840301513672
107.4326,30.259759999999996,2020-02-03,1,126,257.4913330078125
107.4326,30.259759999999996,2020-01-24,1,126,257.4913330078125
107.4326,30.259759999999996,2020-02-05,1,126,257.4913330078125
107.4326,30.259759999999996,2020-01-27,3,126,257.4913330078125
107.4326,30.259759999999996,2020-02-02,1,126,257.4913330078125
107.4326,30.259759999999996,2020-01-30,3,126,257.4913330078125
107.4326,30.259759999999996,2020-01-25,1,126,257.4913330078125
107.4326,30.259759999999996,2020-02-01,1,126,257.4913330078125
107.4326,30.259759999999996,2020-01-31,2,126,257.4913330078125
107.56700000000001,41.453509999999994,2020-02-05,4,365,309.5408020019531
107.56700000000001,41.453509999999994,2020-02-08,2,365,309.5408020019531
107.56700000000001,41.453509999999994,2020-01-31,1,365,309.5408020019531
107.56700000000001,41.453509999999994,2020-01-29,1,365,309.5408020019531
107.596,38.26614,2020-02-04,1,487,455.0575256347656
107.596,38.26614,2020-02-03,1,487,455.0575256347656
107.6062,28.93119,2020-02-02,3,441,384.1315612792969
107.6465,31.370140000000003,2020-01-27,2,70,140.97727966308594
107.6465,31.370140000000003,2020-02-03,2,70,140.97727966308594
107.6465,31.370140000000003,2020-01-23,1,70,140.97727966308594
107.6465,31.370140000000003,2020-02-07,2,70,140.97727966308594
107.6465,31.370140000000003,2020-01-29,1,70,140.97727966308594
107.6465,31.370140000000003,2020-02-04,4,70,140.97727966308594
