"longitude","latitude","cases","raster_value"
116.1737,39.92715,1.0,38.26565551757813
116.1808,33.43671,6.266666666666667,46.8335075378418
116.2063,40.20789,2.0,49.58916091918945
116.2285,40.02186,2.5,35.58824157714844
116.2425,30.10472,6.0,127.73533630371094
116.2499,39.8306,2.0,37.18235778808594
116.3151,31.75941,2.9444444444444446,73.28382110595703
116.3187,33.96738,2.5,54.37777709960938
116.3359,35.96215,1.0,78.54269409179688
116.3591,39.91093,2.1666666666666665,13.460789680480955
116.4106,39.91129,1.5,7.232398509979247
116.4151,40.18535,12.5,37.83733367919922
116.4172,39.64238,2.0,70.4177474975586
116.4344,27.51128,4.0625,692.2891235351562
116.4853,42.18977,2.0,182.67372131347656
116.4944,35.70984,1.0,3.343097686767578
116.5128,39.94612,4.666666666666667,15.900747299194336
116.5411,30.75502,1.0,371.0946960449219
116.5856,23.33433,2.6666666666666665,75.36951446533203
116.5956,30.61122,3.9285714285714284,92.54463958740234
116.6081,28.21876,1.0,69.93035888671875
116.6264,39.25678,2.125,148.8897247314453
116.6525,37.24178,3.5,155.77821350097656
116.6667,26.30745,1.0,108.43463134765624
116.6771,30.24028,1.0,116.43509674072266
116.7332,35.37464,3.1666666666666665,65.12563323974611
116.734,32.75738,2.5,49.3019027709961
116.7363,39.80292,3.0,104.186279296875
116.7403,25.29473,2.0,138.69039916992188
116.7424,33.72722,2.090909090909091,15.22605037689209
116.7593,38.26855,2.6,33.311824798583984
116.7739,23.79656,1.5,64.58661651611328
116.7904,36.42273,1.0,90.60954284667969
116.8021,37.67882,1.0,8.284040451049805
116.8144,24.75887,1.0,138.06082153320312
116.9416,30.96895,1.0,43.544105529785156
116.9669,36.5767,3.0,25.58337593078613
116.989,40.52377,1.0,100.47335815429688
117.0194,35.60996,1.0,48.18556213378906
117.0201,31.72762,1.0,272.0404663085937
117.0385,36.00093,1.6666666666666667,176.36221313476562
117.0851,36.73414,2.4285714285714284,19.9084415435791
117.0907,36.65325,3.0,28.579814910888672
117.1077,28.22466,1.8333333333333333,69.43166351318361
117.1328,37.66758,1.0,86.37100219726562
117.1352,35.0602,1.0,43.0682258605957
117.1614,32.2842,1.0,94.13330841064452
117.1894,31.92046,2.0,38.25884246826172
117.1946,36.2139,1.0,111.03299713134766
117.2001,31.82562,1.3333333333333333,16.20870590209961
117.2092,33.860859999999995,2.2857142857142856,141.6500244140625
117.224844,31.828313,2.0,16.900545120239258
117.2708,29.309990000000006,1.0,15.91261386871338
117.3168,25.9165,1.0,124.6276626586914
117.32,31.26968,1.6666666666666667,83.84239196777344
117.326,33.10901,7.294117647058823,115.11289978027344
117.326029,31.8947345,4.0,27.31025695800781
117.3319,31.77863,1.0,33.835739135742195
117.3333,39.29713,4.076923076923077,122.9845199584961
117.3384,31.89544,1.25,20.241912841796875
117.3428,31.79444,6.444444444444445,22.54091835021973
117.3658,30.28525,1.1428571428571428,164.7936553955078
117.3892,26.72978,1.0,280.3106689453125
117.3919,34.916509999999995,2.0,88.587158203125
117.3972,26.30083,2.0,63.74892044067383
117.4002,39.60828,1.5,234.61456298828125
117.4428,24.37045,3.0,360.8101501464844
117.4692,28.77693,7.285714285714286,186.5855865478516
117.4943,49.53241,1.0,118.5694580078125
117.5145,34.3568,4.214285714285714,70.00299835205078
117.5457,41.35324,1.0,167.79736328125
117.5661,37.36909,1.0,52.27550888061523
117.5681,32.00123,1.6,29.869319915771484
117.5912,34.71065,1.0,55.70653915405274
117.6048,35.89409000000001,1.0,64.67158508300781
117.6105,24.60103,1.6,29.111204147338874
117.7166,31.64696,1.0,66.88005828857422
117.7956,24.39413,1.0,70.86693572998047
117.8074,26.44404,1.5,38.25748062133789
117.827,37.50211,1.75,46.34818649291992
117.8621,26.90625,1.0,181.9986724853516
117.8965,30.94467,2.0833333333333335,91.74231719970705
117.9998,27.74553,1.0,204.84979248046875
118.0154,24.64094,1.0,24.82939910888672
118.0508,36.60405,1.3333333333333333,129.76690673828122
118.0561,27.4057,1.0,159.24073791503906
118.0657,36.80833,2.0,20.803857803344727
118.0713,29.90755,2.25,83.25421142578125
118.0971,43.76347,1.0,517.5573120117189
118.1027,32.54543,1.3333333333333333,124.22440338134766
118.1138,24.67595,2.4285714285714284,11.92802619934082
118.1285,31.14997,2.7777777777777777,57.32494735717772
118.1296,25.39241,1.0,6.063644886016847
118.1433,27.341520000000006,3.5,205.5914459228516
118.1603,36.35919000000001,18.444444444444443,153.41392517089844
118.2433,26.58755,1.5,38.9902572631836
118.2574,25.21145,2.6,64.99513244628906
118.2809,35.31235,4.5,155.2963104248047
118.2886,36.84829000000001,1.0,42.73872756958008
118.3354,39.72276,2.909090909090909,49.416847229003906
118.356,31.62885,2.727272727272727,26.511857986450195
118.3777,25.01462,1.6,112.8364486694336
118.5051,35.12195,1.0,34.65545654296875
118.5128,27.9424,1.0,6.0018863677978525
118.5202,33.78681,1.1111111111111112,98.30472564697266
118.5443,24.72969,2.4,66.39118957519531
118.5449,24.91283,1.0,46.32024383544922
118.5969,35.90842,1.0,50.55103302001953
118.618,24.92143,1.0,37.14064025878906
118.633,42.38503,1.0,258.6395874023437
118.674,28.9356,2.4,95.47881317138672
118.6935,25.46516,2.0,337.1597595214844
118.7543,27.60811,1.3333333333333333,357.8910827636719
118.7675,26.2097,1.0,348.6620178222656
118.8018,24.99057,1.0,32.2181396484375
118.8424,31.92997,4.1875,9.13162899017334
118.8534,30.68815,1.25,393.7776794433594
118.8683,26.61637,2.6666666666666665,140.25028991699222
118.8826,43.22626,2.0,82.59745788574219
118.8892,25.45184,4.25,60.31568908691406
118.9257,25.41917,2.5714285714285716,47.06013107299805
118.9601,27.32212,1.0,185.9351043701172
118.9639,33.357009999999995,3.2941176470588234,39.08502960205078
119.0533,25.60338,1.0,180.42579650878903
119.054565,29.091674,27.0,87.89971160888672
119.0713,36.55315,1.4,109.60671997070312
119.0789,25.39559,1.75,3.394855737686157
119.1325,34.534,2.5,26.522714614868164
119.1358,35.58324,1.4285714285714286,222.3253631591797
119.1364,36.68344,2.0,19.148378372192386
119.1789,26.05196,3.0,42.252689361572266
119.1835,40.09067,1.0,282.8160705566406
119.1945,25.23526,1.0,58.101417541503906
119.2411,42.96581,2.0,110.00909423828124
119.2797,26.09591,1.0,117.44754028320312
119.3006,26.22387,2.0,309.7365417480469
119.3016,27.09157,2.0,123.97962951660156
119.324,26.01712,2.5,25.27579498291016
119.3656,25.63143,1.6666666666666667,120.8191909790039
119.3701,35.46201,1.0,90.9712371826172
119.4537,32.01638,1.5,91.52025604248048
119.4564,32.9902,5.0,105.00595092773438
119.4715,29.90166,9.705882352941176,152.00978088378906
119.4729,32.73976,1.9090909090909092,147.39439392089844
119.4745,26.976740000000003,2.3333333333333335,138.97377014160156
119.5133,28.20076,2.2857142857142856,141.54283142089844
119.55,26.30194,3.0,266.55874633789057
119.5504,25.91169,1.4,41.00554656982422
119.6369,31.62592,2.7333333333333334,187.20013427734372
119.8686,30.74578,1.6666666666666667,360.3272399902344
119.9524,29.11746,4.454545454545454,375.91351318359375
119.9801,26.86626,1.0,41.86203384399414
